grasp_id,label,timestamp_ms,enc_deg,s0_dx,s0_dy,s0_dz,s1_dx,s1_dy,s1_dz,s2_dx,s2_dy,s2_dz,s3_dx,s3_dy,s3_dz,s4_dx,s4_dy,s4_dz,s5_dx,s5_dy,s5_dz,t1_flag,t2_flag,t1_ms,t2_ms
6,cylinder_stiff,1020,114.048,6.379,12.975,63.471,5.471,-15.574,35.145,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1040,114.136,15.679,10.125,47.741,4.421,-13.024,34.661,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1060,114.136,6.529,3.075,43.869,-1.879,-17.824,38.533,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1080,114.136,14.629,6.675,59.599,-5.179,-13.324,29.579,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1100,114.224,11.329,9.525,53.549,4.721,-13.174,34.903,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1120,114.224,9.079,15.225,46.773,-6.679,-17.524,26.433,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1140,114.224,15.829,-5.475,57.421,3.671,-17.974,31.999,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1160,114.224,12.529,14.925,54.517,-2.029,-8.074,37.807,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1180,114.224,6.229,5.475,49.435,2.771,-11.824,38.049,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1200,114.224,11.479,7.275,52.339,11.771,-13.324,28.127,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1220,114.224,13.729,9.675,48.951,-9.079,-15.424,35.871,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1240,114.224,8.179,15.825,56.453,-1.879,-15.424,40.953,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1260,114.136,8.929,12.975,48.708,5.771,-8.224,44.825,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1280,114.224,2.329,2.475,43.627,-9.229,-16.774,37.565,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
